country,avg_temp_c
Sudan,29.981780487804876
Somalia,27.963182926829273
Thailand,27.929518292682925
Vietnam,27.909878048780488
Saudi Arabia,27.63560975609756
Burma,27.514213414634145
Indonesia,27.408634146341466
Singapore,27.32316463414634
Nigeria,27.176191056910568
Philippines,27.153518292682932
C̫te D'Ivoire,26.971024390243905
Dominican Republic,26.852800000000002
India,26.633254790940768
Tanzania,26.481774390243906
Bangladesh,26.164378048780492
Pakistan,25.824654471544715
Senegal,25.425993902439025
Congo (Democratic Republic Of The),24.504963414634148
Angola,24.387658536585366
Iraq,24.074841463414632
Brazil,23.906030487804877
Taiwan,23.078829268292683
Egypt,22.044806910569108
Colombia,21.649606707317073
Zimbabwe,20.721987804878047
